type_liaison;isolation_mur;type_isolation_mur;isolation_plancher;type_isolation_plancher;type_pose_menuiserie;presence_retour_isolation;largeur_dormant/lte;largeur_dormant/gt;kpt;tv_pont_thermique_id
plancher_bas_mur;1;iti;1;iti;;;;;0.08;6
plancher_bas_mur;1;iti;1;ite;;;;;0.71;7
plancher_bas_mur;1;iti;1;itr;;;;;0.71;7
plancher_bas_mur;1;iti;1;itr_ite;;;;;0.71;7
plancher_bas_mur;1;iti;1;iti_ite;;;;;0.08;8
plancher_bas_mur;1;iti;1;itr_iti;;;;;0.08;8
plancher_bas_mur;1;iti;1;itr_iti_ite;;;;;0.08;8
plancher_bas_mur;1;ite;0;;;;;;0.49;9
plancher_bas_mur;1;ite;1;iti;;;;;0.48;10
plancher_bas_mur;1;ite;1;ite;;;;;0.64;11
plancher_bas_mur;1;ite;1;itr;;;;;0.64;11
plancher_bas_mur;1;ite;1;itr_ite;;;;;0.64;11
plancher_bas_mur;1;ite;1;iti_ite;;;;;0.48;12
plancher_bas_mur;1;ite;1;itr_iti;;;;;0.48;12
plancher_bas_mur;1;ite;1;itr_iti_ite;;;;;0.48;12
plancher_bas_mur;1;itr;0;;;;;;0.35;13
plancher_bas_mur;1;itr;1;iti;;;;;0.1;14
plancher_bas_mur;1;itr;1;ite;;;;;0.45;15
plancher_bas_mur;1;itr;1;itr;;;;;0.45;15
plancher_bas_mur;1;itr;1;itr_ite;;;;;0.45;15
plancher_bas_mur;1;itr;1;iti_ite;;;;;0.1;16
plancher_bas_mur;1;itr;1;itr_iti;;;;;0.1;16
plancher_bas_mur;1;itr;1;itr_iti_ite;;;;;0.1;16
plancher_bas_mur;1;iti_ite;0;;;;;;0.31;17
plancher_bas_mur;1;iti_ite;1;iti;;;;;0.08;18
plancher_bas_mur;1;iti_ite;1;ite;;;;;0.45;19
plancher_bas_mur;1;iti_ite;1;itr;;;;;0.45;19
plancher_bas_mur;1;iti_ite;1;itr_ite;;;;;0.45;19
plancher_bas_mur;1;iti_ite;1;iti_ite;;;;;0.08;20
plancher_bas_mur;1;iti_ite;1;itr_iti;;;;;0.08;20
plancher_bas_mur;1;iti_ite;1;itr_iti_ite;;;;;0.08;20
plancher_bas_mur;1;itr_iti;0;;;;;;0.31;21
plancher_bas_mur;1;itr_iti_ite;0;;;;;;0.31;21
plancher_bas_mur;1;itr_iti;1;iti;;;;;0.08;22
plancher_bas_mur;1;itr_iti_ite;1;iti;;;;;0.08;22
plancher_bas_mur;1;itr_iti;1;ite;;;;;0.45;23
plancher_bas_mur;1;itr_iti;1;itr;;;;;0.45;23
plancher_bas_mur;1;itr_iti;1;itr_ite;;;;;0.45;23
plancher_bas_mur;1;itr_iti_ite;1;ite;;;;;0.45;23
plancher_bas_mur;1;itr_iti_ite;1;itr;;;;;0.45;23
plancher_bas_mur;1;itr_iti_ite;1;itr_ite;;;;;0.45;23
plancher_bas_mur;1;itr_iti;1;iti_ite;;;;;0.08;24
plancher_bas_mur;1;itr_iti;1;itr_iti;;;;;0.08;24
plancher_bas_mur;1;itr_iti;1;itr_iti_ite;;;;;0.08;24
plancher_bas_mur;1;itr_iti_ite;1;iti_ite;;;;;0.08;24
plancher_bas_mur;1;itr_iti_ite;1;itr_iti;;;;;0.08;24
plancher_bas_mur;1;itr_iti_ite;1;itr_iti_ite;;;;;0.08;24
plancher_bas_mur;1;itr_ite;0;;;;;;0.35;25
plancher_bas_mur;1;itr_ite;1;iti;;;;;0.1;26
plancher_bas_mur;1;itr_ite;1;ite;;;;;0.45;27
plancher_bas_mur;1;itr_ite;1;itr;;;;;0.45;27
plancher_bas_mur;1;itr_ite;1;itr_ite;;;;;0.45;27
plancher_bas_mur;1;itr_ite;1;iti_ite;;;;;0.1;28
plancher_bas_mur;1;itr_ite;1;itr_iti;;;;;0.1;28
plancher_bas_mur;1;itr_ite;1;itr_iti_ite;;;;;0.1;28
baie_mur|porte_mur;0;;;;nu_exterieur;;75;;0.43;71
baie_mur|porte_mur;0;;;;tunnel;;75;;0.31;73
baie_mur|porte_mur;0;;;;nu_interieur;;75;;0.38;75
baie_mur|porte_mur;1;iti;;;nu_exterieur;1;75;;0.22;77
baie_mur|porte_mur;1;iti;;;tunnel;1;75;;0.16;79
baie_mur|porte_mur;1;iti;;;nu_interieur;1;75;;0;81
baie_mur|porte_mur;1;iti;;;nu_exterieur;0;75;;0.43;83
baie_mur|porte_mur;1;iti;;;tunnel;0;75;;0.31;85
baie_mur|porte_mur;1;iti;;;nu_interieur;0;75;;0;87
baie_mur|porte_mur;1;ite;;;nu_exterieur;1;75;;0;89
baie_mur|porte_mur;1;ite;;;tunnel;1;75;;0.19;91
baie_mur|porte_mur;1;ite;;;nu_interieur;1;75;;0.25;93
baie_mur|porte_mur;1;ite;;;nu_exterieur;0;75;;0;95
baie_mur|porte_mur;1;ite;;;tunnel;0;75;;0.45;97
baie_mur|porte_mur;1;ite;;;nu_interieur;0;75;;0.9;99
baie_mur|porte_mur;1;iti_ite;;;nu_exterieur;1;75;;0;102
baie_mur|porte_mur;1;iti_ite;;;tunnel;1;75;;0.16;104
baie_mur|porte_mur;1;iti_ite;;;nu_interieur;1;75;;0;106
baie_mur|porte_mur;1;iti_ite;;;nu_exterieur;0;75;;0;108
baie_mur|porte_mur;1;iti_ite;;;tunnel;0;75;;0.31;110
baie_mur|porte_mur;1;iti_ite;;;nu_interieur;0;75;;0;112
baie_mur|porte_mur;1;itr_iti;;;nu_exterieur;1;75;;0.2;114
baie_mur|porte_mur;1;itr_iti;;;tunnel;1;75;;0.16;116
baie_mur|porte_mur;1;itr_iti;;;nu_interieur;1;75;;0;118
baie_mur|porte_mur;1;itr_iti;;;nu_exterieur;0;75;;0.2;120
baie_mur|porte_mur;1;itr_iti;;;tunnel;0;75;;0.2;122
baie_mur|porte_mur;1;itr_iti;;;nu_interieur;0;75;;0;124
baie_mur|porte_mur;1;itr_ite;;;nu_exterieur;1;75;;0;126
baie_mur|porte_mur;1;itr_iti_ite;;;nu_exterieur;1;75;;0;126
baie_mur|porte_mur;1;itr_ite;;;tunnel;1;75;;0.19;128
baie_mur|porte_mur;1;itr_iti_ite;;;tunnel;1;75;;0.19;128
baie_mur|porte_mur;1;itr_ite;;;nu_interieur;1;75;;0.2;130
baie_mur|porte_mur;1;itr_iti_ite;;;nu_interieur;1;75;;0.2;130
baie_mur|porte_mur;1;itr_ite;;;nu_exterieur;0;75;;0;132
baie_mur|porte_mur;1;itr_iti_ite;;;nu_exterieur;0;75;;0;132
baie_mur|porte_mur;1;itr_ite;;;tunnel;0;75;;0.2;134
baie_mur|porte_mur;1;itr_iti_ite;;;tunnel;0;75;;0.2;134
baie_mur|porte_mur;1;itr_ite;;;nu_interieur;0;75;;0.2;136
baie_mur|porte_mur;1;itr_iti_ite;;;nu_interieur;0;75;;0.2;136
baie_mur|porte_mur;0;;;;nu_exterieur;;;75;0.29;72
baie_mur|porte_mur;0;;;;tunnel;;;75;0.19;74
baie_mur|porte_mur;0;;;;nu_interieur;;;75;0.25;76
baie_mur|porte_mur;1;iti;;;nu_exterieur;1;;75;0.18;78
baie_mur|porte_mur;1;iti;;;tunnel;1;;75;0.13;80
baie_mur|porte_mur;1;iti;;;nu_interieur;1;;75;0;82
baie_mur|porte_mur;1;iti;;;nu_exterieur;0;;75;0.29;84
baie_mur|porte_mur;1;iti;;;tunnel;0;;75;0.19;86
baie_mur|porte_mur;1;iti;;;nu_interieur;0;;75;0;88
baie_mur|porte_mur;1;ite;;;nu_exterieur;1;;75;0;90
baie_mur|porte_mur;1;ite;;;tunnel;1;;75;0.15;92
baie_mur|porte_mur;1;ite;;;nu_interieur;1;;75;0.2;94
baie_mur|porte_mur;1;ite;;;nu_exterieur;0;;75;0;96
baie_mur|porte_mur;1;ite;;;tunnel;0;;75;0.4;98
baie_mur|porte_mur;1;ite;;;nu_interieur;0;;75;0.8;100
baie_mur|porte_mur;1;iti_ite;;;nu_exterieur;1;;75;0;103
baie_mur|porte_mur;1;iti_ite;;;tunnel;1;;75;0.13;105
baie_mur|porte_mur;1;iti_ite;;;nu_interieur;1;;75;0;107
baie_mur|porte_mur;1;iti_ite;;;nu_exterieur;0;;75;0;109
baie_mur|porte_mur;1;iti_ite;;;tunnel;0;;75;0.19;111
baie_mur|porte_mur;1;iti_ite;;;nu_interieur;0;;75;0;113
baie_mur|porte_mur;1;itr_iti;;;nu_exterieur;1;;75;0.18;115
baie_mur|porte_mur;1;itr_iti;;;tunnel;1;;75;0.13;117
baie_mur|porte_mur;1;itr_iti;;;nu_interieur;1;;75;0;119
baie_mur|porte_mur;1;itr_iti;;;nu_exterieur;0;;75;0.2;121
baie_mur|porte_mur;1;itr_iti;;;tunnel;0;;75;0.19;123
baie_mur|porte_mur;1;itr_iti;;;nu_interieur;0;;75;0;125
baie_mur|porte_mur;1;itr_ite;;;nu_exterieur;1;;75;0;127
baie_mur|porte_mur;1;itr_iti_ite;;;nu_exterieur;1;;75;0;127
baie_mur|porte_mur;1;itr_ite;;;tunnel;1;;75;0.15;129
baie_mur|porte_mur;1;itr_iti_ite;;;tunnel;1;;75;0.15;129
baie_mur|porte_mur;1;itr_ite;;;nu_interieur;1;;75;0.2;131
baie_mur|porte_mur;1;itr_iti_ite;;;nu_interieur;1;;75;0.2;131
baie_mur|porte_mur;1;itr_ite;;;nu_exterieur;0;;75;0;133
baie_mur|porte_mur;1;itr_iti_ite;;;nu_exterieur;0;;75;0;133
baie_mur|porte_mur;1;itr_ite;;;tunnel;0;;75;0.2;135
baie_mur|porte_mur;1;itr_iti_ite;;;tunnel;0;;75;0.2;135
baie_mur|porte_mur;1;itr_ite;;;nu_interieur;0;;75;0.2;137
baie_mur|porte_mur;1;itr_iti_ite;;;nu_interieur;0;;75;0.2;137
baie_mur|porte_mur;1;itr;;;;;;;0.2;101
